skill
Python
Java
C++
Machine Learning
Deep Learning
TensorFlow
PyTorch
NLP
Pandas
NumPy
Scikit-learn
SQL
Docker
Kubernetes
AWS
Git
Linux
FastAPI
Flask
Streamlit
